date,cash,position_shares,close,market_value,equity,daily_return,cum_return,running_peak,drawdown,symbol,test_start
2025-02-12,100000.0,0,528.3,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-13,100000.0,0,535.9,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-14,100000.0,0,538.15,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-18,100000.0,0,539.37,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-19,100000.0,0,539.52,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-20,100000.0,0,537.23,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-21,100000.0,0,526.08,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-24,100000.0,0,519.87,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-25,100000.0,0,513.32,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-26,100000.0,0,514.56,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-27,100000.0,0,500.27,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-02-28,100000.0,0,508.17,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-03,100000.0,0,497.05,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-04,100000.0,0,495.55,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-05,100000.0,0,502.01,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-06,100000.0,0,488.2,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-07,100000.0,0,491.79,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-10,100000.0,0,472.73,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-11,100000.0,0,471.6,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-12,100000.0,0,476.92,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-13,100000.0,0,468.34,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-14,100000.0,0,479.66,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-03-17,100000.0,0,482.77,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
